Title,Release Date,Budget,Revenue,Genres,Cast,Rating,Vote Count,Runtime,Overview
La figliastra - Storia di corna e di passioni,1976-07-29,0,0,"Comedy, Romance","Sonja Jeannine, Lucretia Love, Bruno Scipioni, Nino Terzo, Maristella Greco",4.5,8,88,"A long time ago in Sicilia, there was a common, unwritten law that linked the hereditary rights to unequivocal demonstrations of virility. Because of that traditional law, a middle-age widower whose wife died without begetting him a child, is about to lose an inheritance of a large sum of money. The man marries again, with Nadia, an attractive woman with a daughter from her first marriage, Daniela. But time passes, and Nadia is not getting pregnant, either. Eventually, his beautiful stepdaughter will help him solve his problem."
Insidious: The Last Key,2018-01-03,10000000,167885588,"Horror, Thriller","Lin Shaye, Leigh Whannell, Angus Sampson, Kirk Acevedo, Caitlin Gerard",6.261,2844,103,"Parapsychologist Elise Rainier and her team travel to Five Keys, NM, to investigate a man’s claim of a haunting. Terror soon strikes when Rainier realizes that the house he lives in was her family’s old home."
Ready or Not,2019-08-21,6000000,57600000,"Comedy, Horror","Samara Weaving, Adam Brody, Mark O'Brien, Henry Czerny, Andie MacDowell",7.058,4287,95,"When a young bride marries into a ridiculously rich and delightfully deranged family, her wedding night becomes her worst nightmare as she's forced to play a lethal game of hide-and-seek and must fight to stay alive."
Die Hard,1988-07-15,28000000,140767956,"Action, Thriller","Bruce Willis, Alan Rickman, Alexander Godunov, Bonnie Bedelia, Reginald VelJohnson",7.79,10929,132,"NYPD cop John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down."
Gods of Egypt,2016-02-25,140000000,150680864,"Action, Adventure, Fantasy","Nikolaj Coster-Waldau, Brenton Thwaites, Gerard Butler, Chadwick Boseman, Elodie Yung",5.657,3995,127,A common thief joins a mythical god on a quest through Egypt.
Chronicle,2012-02-01,15000000,145000000,"Science Fiction, Drama, Thriller","Dane DeHaan, Alex Russell, Michael B. Jordan, Michael Kelly, Ashley Grace",6.824,5195,84,"Three high school students make an incredible discovery, leading to their developing uncanny powers beyond their understanding. As they learn to control their abilities and use them to their advantage, their lives start to spin out of control, and their darker sides begin to take over."
Spaceman,2024-02-23,40000000,0,"Science Fiction, Adventure, Drama","Adam Sandler, Paul Dano, Carey Mulligan, Kunal Nayyar, Isabella Rossellini",6.785,716,108,"Six months into a solo mission, a lonely astronaut confronts the cracks in his marriage with help from a mysterious creature he discovers on his ship."
Radical,2023-10-19,10000000,21761164,Drama,"Eugenio Derbez, Daniel Haddad, Jennifer Trejo, Mia Fernanda Solis, Danilo Guardiola Escobar",8.405,391,126,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries an unorthodox new method to break through his students’ apathy and unlock their curiosity, their potential... and perhaps even their genius."
The Duel,2024-07-31,800000,7400000,"Comedy, Drama","Dylan Sprouse, Callan McAuliffe, Patrick Warburton, Denny Love, Hart Denton",6.667,12,99,"When a friend group is torn apart by betrayal, they decide to settle their differences in the most old school of ways. Leaving their modern home of Los Angeles, they embark on a bizarre adventure that seemingly takes them back in time across an underground cave river. Cocaine. Existentialism. A four hundred and fifty pound pig. True love. Cosmic jokes. Mexico?"
You Only Live Twice,1967-06-13,9500000,111584787,"Action, Thriller, Adventure","Sean Connery, Akiko Wakabayashi, Mie Hama, Tetsuro Tamba, Teru Shimada",6.567,2123,117,A mysterious spacecraft captures Russian and American space capsules and brings the two superpowers to the brink of war. James Bond investigates the case in Japan and comes face to face with his archenemy Blofeld.
